# This file contains the commands, arguments and flags for the
# ImageJ Macro 'FilterTester'.
#
# Version 2007-Jun-19 for ImageJ 1.38v
#
# The lines contain (semicolon-delimited):
#    command-string; options-string; flags; results
# The strings should not be enclosed in quotes; command-string must not contain
#   additional whitespace (spaces, tabs, etc.)
# Flags are bitwise OR of bits:
#   bit 0 (1)  - do on 8-bit image
#   bit 1 (2)  - do on 16-bit image
#   bit 2 (4)  - do on 32-bit image
#   bit 3 (8)  - do on RGB image
#   bit 4 (16) - do on binary image
#   bit 5 (32) - do on stacks of the types defined previously
#   bit 6 (64) - command creates a separate output image (no stack) that should be measured
#   bit 7 (128) - disable anisotropy tests (if filtering is not isotropic, but works differently
#                when rotated/flipped, e.g. "Shadow" filters).
#   bit 8 (256) - disable Undo test
#
# The results are comma-delimited; mean, min, max for each type of selection and data file type
# With the FilterTester in learning mode (with writeResults = true), the results of the
# tests are written (or overwritten) as further arguments in each line.
#
# Lines starting with a character less than '0' (e.g., '#', "!") are comments.
#
Smooth; ;47;62.8975,15,194,62.9975,15,194,63.66,15,254,147.325,35,454,147.49,35,454,148.7425,35,593,4.907771005034447,1.154499888420105,15.118301391601562,4.912331255078316,1.154499888420105,15.118301391601562,4.948110270500183,1.154499888420105,19.73590087890625,201.8475,92,242,201.8375,92,242,201.6475,46,242,
Find Edges; ;47;97.3375,0,255,95.255,0,255,89.41,0,255,241.695,0,1055,236.715,0,1055,215.8125,0,1000,8.061129246966942,0,35.13719940185547,7.893151598589523,0,35.13719940185547,7.186606890631508,0,33.29999923706055,83.175,0,255,96.3925,0,255,151.23,0,255,
Northeast; ;175;95.9125,0,255,92.39,0,255,76.1125,0,255,244.3575,0,1055,233.09,0,1055,178.355,0,672,7.8666150188446045,-30.214099884033203,35.12050247192383,7.542938969135284,-30.214099884033203,35.12050247192383,5.783366783857345,-30.214099884033203,22.366600036621094,172.3375,0,255,175.6825,0,255,191.4925,24,255,
Gamma...;value=3.3;47;10.29,0,251,15.7625,0,251,42.9475,0,254,26.38,2,593,38.8975,2,593,101.16,2,593,794.570489885509,0.20836126804351807,18808.228515625,756.9530567523838,0.20836126804351807,18808.228515625,206.63219761818647,0.20836126804351807,7451.2021484375,133.8925,4,233,141.1425,4,233,175.19,14,233,
# Flip operations are not undoable because flipping twice is undo
Flip Horizontally; ;431;89.56,16,208,100.04,8,232,84.8,8,232,208.9675,37,485,233.3975,19,541,197.8325,19,541,6.947618114352227,1.2210999727249146,16.139501571655273,7.7611372590065,0.6217000484466553,18.004301071166992,6.5768226826190945,0.6217000484466553,18.004301071166992,180.3725,82,242,171.6625,62,248,184.3675,62,248,
Flip Vertically; ;431;117.52,32,216,66.0975,1,254,62.8625,1,200,274.225,75,504,154.1875,2,593,146.615,2,467,9.120693069696426,2.4865002632141113,16.772201538085938,5.123444051332772,0.05560000240802765,19.73590087890625,4.871279785521328,0.05560000240802765,15.540101051330566,157.055,75,228,199.965,46,254,202.6775,88,254,
#
# Subtract Background should be isotropic (flag 43: 8bit16bit|RGB|stack|), but not with sufficient accuracy, thus flag 171
Subtract Background...;rolling=20 light;171;40.565,0,232,40.565,0,232,40.565,0,232,95.6025,0,540,95.6025,0,540,95.6025,0,540,215.325,51,253,215.325,51,253,215.325,51,253,
#
Convolve...; text1=[0 1 -1\n3 0 4\n-1 1 0\n] normalize; 175;64.27,9,194,64.315,9,194,64.03,9,254,149.9375,22,453,150.035,22,453,149.35,22,593,4.981978744715452,0.7073288559913635,15.088172912597656,4.9852730409801005,0.7073288559913635,15.088172912597656,4.9628429867327215,0.7073288559913635,19.73590087890625,201.4625,93,247,201.4375,93,247,201.6925,46,247,
#
# binary
Erode; ;48;10.2,0,255,10.8375,0,255,20.4,0,255,
Skeletonize; ;48;1.275,0,255,1.275,0,255,3.1875,0,255,
Distance Map; ;48;0.155,0,3,0.155,0,3,0.155,0,3,
Find Maxima...;noise=2 output=[Maxima Within Tolerance] light;79;5.7375,0,255,5.7375,0,255,0,0,0,5.7375,0,255,5.7375,0,255,0,0,0,0.6375,0,255,0.6375,0,255,0,0,0,5.7375,0,255,5.7375,0,255,0,0,0,
#
# Gaussian blur-related (different algorithm for r=9 and r=2)
Gaussian Blur...;radius=9;47;69.6425,40,154,68.93,32,160,70.02,32,254,162.4775,93,359,160.8275,75,373,163.3375,75,593,5.399550873041153,3.0905792713165283,11.946340560913086,5.344410810470581,2.4865002632141113,12.409900665283203,5.4280174803733825,2.4865002632141113,19.73590087890625,196.9925,127,222,197.5925,122,228,196.73,46,228,
Unsharp Mask...;gaussian=1.5 mask=0.51 limit;47;62.855,3,255,62.83,3,255,62.88,3,254,147.3575,8,881,147.285,8,881,146.685,8,593,4.895856445357204,0.2716164290904999,29.33810043334961,4.893636639639735,0.2716164290904999,29.33810043334961,4.873360120877623,0.2716164290904999,19.73590087890625,202.575,9,252,202.5925,9,252,202.6575,46,252,
!High pass;radius=9;44;-1.838879373073578,-6.395672798156738,13.817586898803711,-1.2121032977104187,-6.395672798156738,13.817586898803711,1.8009862852096559,-6.395725250244141,19.73590087890625,147.7975,7,196,153.45,7,228,179.75,46,228,
# Highpass is not undoable for 8 and 16 bit: output is signed (calibrated)
!High pass;radius=9;291;-23.7525,-82,127,99.8475,32,255,79.605,32,254,-55.2075,-192,415,29536.775,75,33183,14472.2075,75,32952,
#
# Rank Filters (min, max, mean, variance have different algorithms for r=1 and r=5, but min&max, sum&variance are almost the same code)
